sha,date,chrome-version,chrome,firefox-version,firefox,ladybird-version,ladybird,safari-version,safari,servo-version,servo
a3dd44e517c14d1097586b4093261269ee51e6c3,2024-08-16,129.0.6661.0,157.50412487738186,131.0a1,190.23984912101062,1.0,6031.414069581337,201 preview,760.5156025479238,Servo 0.0.1-a6638c1,3733.8512517375298
2389c876fea91022847e1fb0e1b222fb33810693,2024-08-17,129.0.6661.0,153.39981232946465,131.0a1,188.672191350925,1.0,6060.562243107016,201 preview,756.2056495520019,Servo 0.0.1-4cc1b68,3744.5094730356777
2e5fe20c289fc9566ae122acc947aafc322fce4e,2024-08-18,129.0.6665.0,156.29716450124016,131.0a1,191.89114891060666,1.0,6050.966905077646,201 preview,757.4667250492288,Servo 0.0.1-20273b0,3737.8969939550343
35c491477205f3fc43d7b950f125945d2f7d2871,2024-08-19,129.0.6667.0,154.8378021260591,131.0a1,190.82869135092497,1.0,6047.076388353749,201 preview,756.4663559646468,Servo 0.0.1-db31231,3735.05902840888
369bd9b12f66cd8e83cbf9373a7dbed8b6dabbe5,2024-08-20,129.0.6668.6,154.70666274558235,131.0a1,191.40732281023892,1.0,6070.521989241631,201 preview,757.5403337129526,Servo 0.0.1-e078353,3755.6698255485694
ccc89019aa2d541d1edf774b023dd48b5487c66e,2024-08-21,130.0.6670.0,153.56780784408073,131.0a1,191.46843593966958,1.0,6039.650950673869,201 preview,762.147393807218,Servo 0.0.1-91adf39,3763.298789547226
2773ee25e1db8bc22ca3abfc2f2ecd94b3685bbe,2024-08-22,130.0.6670.0,156.00013519371555,131.0a1,190.4665580397917,1.0,6039.775906977065,201 preview,765.004401751783,Servo 0.0.1-8e224cb,3762.1406273488046
2a3226304a809439fc0ce88f1e4b806f4ce6b91c,2024-08-23,130.0.6670.0,152.5774605384828,131.0a1,190.1461582095055,1.0,6128.50636896801,201 preview,768.4076220794743,Servo 0.0.1-562d32c,3792.7748901801447
d988aeeb33edc4d452899921799b8bed69fff65d,2024-08-24,130.0.6670.0,154.40103196705422,131.0a1,191.3927542686188,1.0,6072.624095667793,201 preview,757.7262064608566,Servo 0.0.1-e956b53,3794.737982556287
d988aeeb33edc4d452899921799b8bed69fff65d,2024-08-25,130.0.6670.0,3,131.0a1,3,1.0,62,201 preview,3,Servo 0.0.1-2db9032,9714.223684210527
e78446e34a1921371658a5df08c71d83f50a2a2f,2024-08-27,130.0.6682.0,3,131.0a1,3,1.0,59,201 preview,3,Servo 0.0.1-c028b5c,9708.223684210527
eb331615b0f0c636f4c558a96e97129642f77ca3,2024-08-28,130.0.6684.0,2,131.0a1,3,1.0,60,201 preview,3,Servo 0.0.1-ba4e081,9714.223684210527
7a69b2e3e487c988cf3379ede29b945aecbe3162,2024-08-29,130.0.6685.0,2,131.0a1,3,1.0,59,202 preview,2,Servo 0.0.1-6de7848,9738.223684210527
a6745d222a0e97d8a3cd9a47ffc5f2faf1d72acb,2024-08-30,130.0.6688.0,2,131.0a1,3,1.0,61,202 preview,3,Servo 0.0.1-c69acd1,9775.223684210527
5d8ec746ed021738e7ee0cee92ad1a1814ba00fe,2024-08-31,130.0.6688.0,159.19432444066436,131.0a1,198.85296616067686,1.0,5260.580955262746,202 preview,739.1595202670565,Servo 0.0.1-13cbcf6,3317.5232259266427
04c1ea99877bad31a359ab7a5f681431d5f48a98,2024-09-01,130.0.6690.0,159.38709403750374,131.0a1,202.1419680439546,1.0,5263.13214618672,202 preview,741.3662995251581,Servo 0.0.1-3acc9ed,3314.711091154283
332a39bf9b0618cab09dd1f1c1ed2cebf8991ec4,2024-09-02,130.0.6694.0,157.14661784702753,131.0a1,201.17124989723644,1.0,5264.712815722716,202 preview,739.4293947632533,Servo 0.0.1-3453d9f,3311.1086093439644
f2010574cd7cf7f721324e30210e60036dbd5623,2024-09-03,130.0.6696.0,157.51492434672934,132.0a1,203.152418312868,1.0,5266.9043625792665,202 preview,741.3353064820081,Servo 0.0.1-35ca050,3311.739549218467
b68ac84b05db083d4072fb3058e27fb1f0dc56c9,2024-09-04,130.0.6698.0,157.87774138881372,132.0a1,201.58582132580784,1.0,5263.465283751336,202 preview,737.8987661563887,Servo 0.0.1-6c0394b,3298.804585994868
e31406cfd59be1409b19dbbb77a8cf05e16576d4,2024-09-05,130.0.6700.0,156.52527368108284,132.0a1,201.17608139906793,1.0,5262.787558377663,202 preview,734.5220701799849,Servo 0.0.1-6c0394b,3312.756542859991
3af2d6a0442dc93126479ced8af0882b15e7ad23,2024-09-06,130.0.6701.0,146.06043546851654,132.0a1,172.4081671457093,1.0,7809.984875331185,202 preview,695.7278015010436,Servo 0.0.1-75c7712,2986.401491302848
ec9b870fec350e59e9db48ae2858e914a07f38d6,2024-09-07,130.0.6704.0,148.33321595047843,132.0a1,172.32025434904105,1.0,7814.7142257997475,202 preview,698.6762843911987,Servo 0.0.1-ebed921,2996.8528626119214
ec9b870fec350e59e9db48ae2858e914a07f38d6,2024-09-08,130.0.6704.0,158.79759545758074,132.0a1,203.5740748414446,1.0,6247.047347056737,202 preview,748.3068456431992,Servo 0.0.1-152e620,3317.8802501241153
24199363d2a25d3c1b562c0065ed214cb59ca49b,2024-09-11,130.0.6710.0,159.73883130840537,132.0a1,202.44805446168522,1.0,6528.651629970991,203 preview,732.2317594196782,Servo 0.0.1-f1ad364,3332.836551058623
2432577309abcb0e6d1068cd1fdbac2756596532,2024-09-12,130.0.6714.0,143.230497975072,132.0a1,206.40545579382555,1.0,6522.962950122824,203 preview,753.5274167418902,Servo 0.0.1-095590e,3355.711681492467
641306a1f1139d773978b26e0358210b4d25e599,2024-09-13,130.0.6715.0,147.58504272226386,132.0a1,214.79843984567003,1.0,5446.286859453326,203 preview,769.5376872960812,Servo 0.0.1-6377706,3297.881105565493
